"Module Name","Display Name","Description","Driver Type","Start Mode","State","Status","Accept Stop","Accept Pause","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Link Date","Path","Init(bytes)"
"NDProxy","NDIS Proxy","NDIS Proxy","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:56","C:\Windows\system32\drivers\NDProxy.sys","0"
"Ndu","Windows Network Data Usage Monitoring Driver","Windows Network Data Usage Monitoring Driver","Kernel ","Auto","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:11:39","C:\Windows\system32\drivers\Ndu.sys","0"
"NetBIOS","NetBIOS Interface","NetBIOS Interface","File System ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:17","C:\Windows\system32\DRIVERS\netbios.sys","0"
"NetBT","NetBT","NetBT","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:11","C:\Windows\system32\DRIVERS\netbt.sys","0"
"Npfs","Npfs","Npfs","File System ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:14:16","C:\Windows\system32\drivers\Npfs.sys","0"
"npsvctrig","Named pipe service trigger provider","Named pipe service trigger provider","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:11","C:\Windows\system32\drivers\npsvctrig.sys","0"
"nsiproxy","NSI Proxy Service Driver","NSI Proxy Service Driver","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:12","C:\Windows\system32\drivers\nsiproxy.sys","0"
"Ntfs","Ntfs","Ntfs","File System ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 04:37:28","C:\Windows\system32\drivers\Ntfs.sys","0"
"Null","Null","Null","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:14:14","C:\Windows\system32\drivers\Null.sys","0"
"nvads1","NVIDIA DS1 Library","NVIDIA DS1 Library","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-27 05:53:55","C:\Windows\system32\drivers\nvads1.sys","0"
"nvaenum","NVIDIA Tegra Audio Controller","NVIDIA Tegra Audio Controller","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-27 05:55:14","C:\Windows\system32\drivers\nvaenum.sys","0"
"nvatopo","NVIDIA Tegra Audio Codec","NVIDIA Tegra Audio Codec","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-27 05:55:14","C:\Windows\system32\drivers\nvatopo.sys","0"
"nvavoice","NVIDIA NVoice Library","NVIDIA NVoice Library","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-27 05:53:59","C:\Windows\system32\drivers\nvavoice.sys","0"
"NvAvstrm","NVIDIA AvStream Driver","NVIDIA AvStream Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:12:05","C:\Windows\system32\DRIVERS\nvavstrm.sys","0"
"nvawave","NVIDIA Tegra Audio","NVIDIA Tegra Audio","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-27 05:55:23","C:\Windows\system32\drivers\nvawave.sys","0"
"nvehcifilter","USB EHCI Power Filter Service","USB EHCI Power Filter Service","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:10:02","C:\Windows\system32\drivers\nvehcifilter.sys","0"
"NvidiaThml","Tegra Thermal Driver Service","Tegra Thermal Driver Service","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:11:43","C:\Windows\system32\drivers\nvthml.sys","0"
"nvlddmkm","nvlddmkm","nvlddmkm","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-11-10 00:57:32","C:\Windows\system32\DRIVERS\nvlddmkm.sys","0"
"nvmem","NVIDIA Tegra Memory Driver","NVIDIA Tegra Memory Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:10:06","C:\Windows\system32\drivers\nvmem.sys","0"
"nvpep","NVIDIA Power Management Controller","NVIDIA Power Management Controller","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:11:01","C:\Windows\system32\DriverStore\FileRepository\nvpep.inf_arm_bec0b2cc81531557\nvpep.sys","0"
"nvsc","NVIDIA Secure Channel","NVIDIA Secure Channel","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:11:49","C:\Windows\system32\drivers\nvsc.sys","0"
"nvse","NVIDIA Secure Engine Controller","NVIDIA Secure Engine Controller","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:10:47","C:\Windows\system32\drivers\nvse.sys","0"
"nvt40pmu","nvt40pmu","nvt40pmu","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:12:46","C:\Windows\system32\DriverStore\FileRepository\nvt40pmu.inf_arm_b6078933719e81f4\nvt40pmu.sys","0"
"nvvad_WaveExtensible","NVIDIA Tegra Miracast Audio","NVIDIA Tegra Miracast Audio","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:14:41","C:\Windows\system32\drivers\nvvadarm.sys","0"
"nvxhcifilter","XHCI Power Filter Service","XHCI Power Filter Service","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-24 08:11:32","C:\Windows\system32\drivers\nvxhcifilter.sys","0"
"partmgr","Partition Manager","Partition Manager","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:14:04","C:\Windows\system32\drivers\partmgr.sys","0"
"pci","PCI Bus Driver","PCI Bus Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:15","C:\Windows\system32\drivers\pci.sys","0"
"pcw","Performance Counters for Windows Driver","Performance Counters for Windows Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 04:36:49","C:\Windows\system32\drivers\pcw.sys","0"
"pdc","pdc","pdc","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-11-01 06:27:39","C:\Windows\system32\drivers\pdc.sys","0"
"PEAUTH","PEAUTH","PEAUTH","Kernel ","Auto","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:21","C:\Windows\system32\drivers\peauth.sys","0"
"Psched","QoS Packet Scheduler","QoS Packet Scheduler","Kernel ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:11:46","C:\Windows\system32\DRIVERS\pacer.sys","0"
"QWAVEdrv","QWAVE driver","QWAVE driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:43","C:\Windows\system32\drivers\qwavedrv.sys","0"
"RasAcd","Remote Access Auto Connection Driver","Remote Access Auto Connection Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:14:00","C:\Windows\system32\DRIVERS\rasacd.sys","0"
"RasPppoe","Remote Access PPPOE Driver","Remote Access PPPOE Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:11","C:\Windows\system32\DRIVERS\raspppoe.sys","0"
"rdbss","Redirected Buffering Sub System","Redirected Buffering Sub System","File System ","System","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:39","C:\Windows\system32\DRIVERS\rdbss.sys","0"
"rdpbus","Remote Desktop Device Redirector Bus Driver","Remote Desktop Device Redirector Bus Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:23","C:\Windows\system32\drivers\rdpbus.sys","0"
"RDPDR","Remote Desktop Device Redirector Driver","Remote Desktop Device Redirector Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:12:22","C:\Windows\system32\drivers\rdpdr.sys","0"
"rdyboost","ReadyBoost","ReadyBoost","Kernel ","Boot","Running","OK","TRUE","FALSE","0","0","0","2013-10-13 00:43:04","C:\Windows\system32\drivers\rdyboost.sys","0"
"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth Device (RFCOMM Protocol TDI)","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-09-11 10:31:07","C:\Windows\system32\DRIVERS\rfcomm.sys","0"
"rspndr","Link-Layer Topology Discovery Responder","Link-Layer Topology Discovery Responder","Kernel ","Auto","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:07","C:\Windows\system32\DRIVERS\rspndr.sys","0"
"scfilter","Smart card PnP Class Filter Driver","Smart card PnP Class Filter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:03","C:\Windows\system32\DRIVERS\scfilter.sys","0"
"sdbus","sdbus","sdbus","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-12-21 10:10:47","C:\Windows\system32\drivers\sdbus.sys","0"
"sdstor","SD Storage Port Driver","SD Storage Port Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:45","C:\Windows\system32\drivers\sdstor.sys","0"
"SensorsHIDClassDriver","UMDF Reflector service for SensorsHIDClassDriver","UMDF Reflector service for SensorsHIDClassDriver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:32","C:\Windows\system32\DRIVERS\WUDFRd.sys","0"
"SensorsServiceDriver","UMDF Reflector service for SensorsServiceDriver","UMDF Reflector service for SensorsServiceDriver","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:12:32","C:\Windows\system32\DRIVERS\WUDFRd.sys","0"
"SerCx","Serial UART Support Library","Serial UART Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","0","0","2013-08-22 06:13:02","C:\Windows\system32\drivers\SerCx.sys","0"
"SerCx2","Serial UART Support Library","Serial UART Support Library","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-10-25 18:10:32","C:\Windows\system32\drivers\SerCx2.sys","0"
"SpbCx","Simple Peripheral Bus Support Library","Simple Peripheral Bus Support Library","Kernel ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-08-22 06:13:01","C:\Windows\system32\drivers\SpbCx.sys","0"
"srv","Server SMB 1.xxx Driver","Server SMB 1.xxx Driver","File System ","Auto","Running","OK","TRUE","FALSE","0","0","0","2013-10-05 11:51:28","C:\Windows\system32\DRIVERS\srv.sys","0"
"srv2","Server SMB 2.xxx Driver","Server SMB 2.xxx Driver","File System ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-09-21 08:55:32","C:\Windows\system32\DRIVERS\srv2.sys","0"
"srvnet","srvnet","srvnet","File System ","Manual","Running","OK","TRUE","FALSE","0","0","0","2013-09-11 10:30:26","C:\Windows\system32\DRIVERS\srvnet.sys","0"
